id,name,year,budget,popularity,runtime,vote_average,poster_path
10329,Congo,1995,50000000,7.260574,109,5,/wjeQaiAApgzdipkNXhQnBrqjBY9.jpg
8963,Crimson Tide,1995,53000000,8.657365,116,7,/oDJyDX11HW4j565vUjmFagKxDTQ.jpg
26564,Crumb,1994,0,3.620388,119,7.6,/yzK39sdkGoiSyKZEWT6HQzaC0BX.jpg
8068,Desperado,1995,7000000,6.950458,104,6.8,/7eVo5DbP7gcsDzHcpRCTA6JAuF2.jpg
8512,Devil in a Blue Dress,1995,27000000,4.646132,102,6.3,/z0Boi5LktVxDMFnpyAqQEnYfPtM.jpg
1572,Die Hard: With a Vengeance,1995,90000000,15.138855,128,6.9,/ivpXGcsPZglyYrN65THWSD7JM3q.jpg
13552,The Doom Generation,1995,0,7.120806,80,5.6,/6ZwsSedjyzR0poDrKlJaYWoseaH.jpg
259209,Feast of July,1995,0,0.523575,116,0,/ntXzazC3ZaWy9GjkFzZGtJFLCZp.jpg
6520,First Knight,1995,55000000,15.178338,134,5.9,/8SRi8laZyPBdigx9qn7m3mriiRQ.jpg
9073,Free Willy 2 - The Adventure Home,1995,0,7.575098,95,5.5,/yLyyjm4m3fSvbazyFv4RtUnb2uQ.jpg
10428,Hackers,1995,20000000,14.810519,107,6.2,/uu62T87qkLkapeuu7ArlnQ6tAap.jpg
17447,Jeffrey,1995,0,3.196456,92,6.5,/mdQd6vgt2sr8gCIVUucwxus29j1.jpg
9886,Johnny Mnemonic,1995,25000000,11.715868,97,5.5,/s9LyQtKhfUcQlZEw8hJLP6XqroO.jpg
9482,Judge Dredd,1995,90000000,8.184815,96,5.4,/r17S4XlQ3Jq5U1KRovFUwU8P4aG.jpg
19326,Jury Duty,1995,0,3.676921,88,4,/fOKuWVHR2M4xPjRwYl0bLHsdRHu.jpg
9344,Kids,1995,1500000,4.877872,91,6.8,/gMuV7ORN8rRfQPMImby8KRGihO2.jpg
9071,Living in Oblivion,1995,500000,10.058329,89,7.2,/sWWb7tX3eEX7M0B7t89Gh9rDctX.jpg
